X,Y,Z,Al_%,Si_%,S_%,K_%,Ca_%,Ti_%,V_%,Mn_%,Fe_%,Ni_%,Cu_%,Zn_%,As_%,Y_%,Sr_%,Zr_%,Pb_%,Rb_%,Bi_%,U_%,Co_%
4.4,1.8,2.439,0,2.5116,0.0078,0.8286,11.0825,0.1301,0.1356,0.8044,0.8788,0.0162,0,0.0068,0.0089,0.0179,0.0261,0.0041,0,0.0116,0,0.0701,0.0101
4.6,1.8,2.439,0,3.4177,0,0.7224,11.6784,0.1373,0.1199,0.7433,0.8404,0.0125,0,0.0093,0,0.0074,0.051,0.0224,0.0554,0.0087,0.0362,0.0778,0.0063
4.8,1.8,2.439,4.7847,1.4493,0,0.7473,11.2511,0.1167,0.1162,0.6374,0.7412,0.0128,0,0.0081,0,0.0265,0.032,0.0359,0.0335,0.0102,0.0253,0.0982,0.0121
5,1.8,2.439,9.6072,1.4001,0,0.7225,11.1446,0.0913,0.0996,0.5695,0.6117,0.0052,0,0.008,0,0.0137,0.0207,0.0368,0.0339,0.0096,0.0203,0.073,0.0027
5.2,1.8,2.439,6.6382,5.2756,0,0.9905,9.535,0.1464,0.1059,0.503,1.0684,0.0074,0,0.0081,0.0104,0.0091,0.0194,0.021,0,0.0157,0,0.0315,0.0019
5.4,1.8,2.439,14.2121,9.9408,0.0702,0.9873,8.1355,0.1221,0.1057,0.3871,0.7043,0.0124,0,0.0086,0.0094,0.0086,0.0107,0.0192,0,0.0045,0.0089,0.0864,0
5.6,1.8,2.439,8.6524,6.8057,0.0581,0.9928,9.2102,0.1066,0.1068,0.4807,0.7743,0.0108,0.003,0.0084,0,0.0208,0.0129,0.0153,0.0183,0.012,0,0.0801,0.0055
5.8,1.8,2.439,23.2746,5.2599,0,1.0924,8.2524,0.105,0.0939,0.3759,0.6613,0.0105,0.0024,0.007,0.0023,0.0067,0.0231,0.0137,0.0181,0.0094,0.0043,0.0476,0.0019
6,1.8,2.439,6.4216,6.1392,0,1.0749,8.7836,0.1624,0.0927,0.4927,0.874,0.0087,0,0.0156,0.0004,0.0162,0.0108,0.0236,0.0278,0.0134,0.0147,0.086,0.0064
6.2,1.8,2.439,11.468,5.1673,0.0159,0.9401,8.9928,0.0994,0.065,0.4478,0.7773,0.0163,0,0.0266,0.0089,0.0145,0.0149,0.0086,0.0091,0,0.008,0.0607,0.0028
6.4,1.8,2.439,10.0404,6.9583,0,1.047,8.6823,0.1215,0.1101,0.4493,0.7807,0.0074,0.0025,0.0447,0,0.0021,0.0029,0.0214,0.0142,0.011,0.0089,0.0253,0.0035
6.6,1.8,2.439,5.1526,4.9148,0,1.1813,9.0366,0.1627,0.134,0.547,0.8534,0.0096,0,0.0035,0.0156,0.0086,0.0216,0.0029,0,0.0063,0.0274,0.0732,0.0059
6.8,1.8,2.439,5.2974,4.1779,0,0.9459,10.6303,0.0879,0.0891,0.576,0.7035,0.006,0,0.0067,0.0149,0.0257,0.0318,0.0144,0.0179,0.0105,0.0089,0.1223,0.0025
7,1.8,2.439,14.2243,6.324,0,0.9807,9.9385,0.0778,0.0682,0.4756,0.5815,0.0077,0,0.0102,0.0051,0,0.0198,0.0274,0.0082,0.0062,0,0.1114,0.0019
7.2,1.8,2.439,7.4981,5.83,0,1.0755,9.5969,0.1275,0.0695,0.5086,0.7165,0.0032,0,0.007,0.0157,0.0224,0.0323,0.0362,0,0,0.0146,0.0669,0.0054
7.4,1.8,2.439,9.5184,4.9243,0,0.7299,11.3967,0.0893,0.0401,0.5215,0.5899,0.0127,0.0029,0.0084,0,0,0.0172,0.0399,0.0181,0.0047,0.0214,0.1225,0.0051
7.6,1.8,2.439,0,2.5575,0,0.7279,12.0581,0.1319,0.0481,0.7842,0.8673,0.0044,0,0.015,0,0.0389,0.018,0.0127,0,0.0084,0,0.161,0.0066
7.8,1.8,2.439,0,3.6311,0,0.9722,11.0615,0.133,0.0567,0.6738,0.9783,0.0136,0,0.0072,0,0.0051,0.0392,0.0077,0.0262,0.0196,0.0383,0.3011,0.0048
8,1.8,2.439,7.1762,5.0788,0,1.0356,10.0525,0.1172,0.0412,0.5049,0.718,0.0061,0,0.0041,0.0092,0.009,0.019,0.0104,0.0046,0.0133,0.014,0.0739,0.0039
8.2,1.8,2.439,4.7821,1.2895,0.0485,0.9454,10.124,0.1293,0.0483,0.592,0.9345,0.0054,0.0028,0,0,0.0075,0.0064,0.0258,0.0291,0.0095,0.0358,0.1009,0.0046
8.4,1.8,2.439,0.8361,4.0848,0.0821,0.8512,11.2569,0.1319,0.0409,0.6666,0.8402,0.0108,0,0.008,0.0073,0.0069,0.0347,0.01,0.0189,0.0123,0.0313,0.0853,0.0041
8.6,1.8,2.439,2.1677,4.3663,0.0637,0.785,11.2663,0.1188,0.0433,0.6257,0.7707,0.0035,0,0.0095,0,0.0309,0.0249,0.0411,0,0.0073,0.0252,0.0884,0.0021
8.8,1.8,2.439,10.0936,5.0819,0.1423,0.792,10.8356,0.0833,0.0276,0.4884,0.5702,0.0036,0,0.0036,0.009,0.0055,0.013,0,0.0083,0.0033,0.0168,0.039,0
9,1.8,2.439,4.6999,2.6236,0.1283,0.8946,10.5678,0.1157,0.0383,0.6118,0.8928,0.0068,0,0.011,0,0.0339,0.0346,0.0062,0.0079,0,0.0181,0.1597,0.0021
9.2,1.8,2.439,13.5439,5.4217,0.0489,0.8129,10.202,0.1018,0.0252,0.4715,0.6074,0.0025,0.0052,0.0098,0.0044,0.0178,0.0184,0.0247,0,0,0.0131,0.137,0.0026
9.4,1.8,2.439,9.702,3.835,0.0926,0.7831,11.2686,0.0894,0.025,0.4982,0.6346,0,0,0,0,0.0076,0.029,0.0199,0.0225,0,0,0.136,0.0011
9.6,1.8,2.439,0,3.8218,0.0568,0.8107,11.4478,0.1209,0.0315,0.6992,0.8164,0.0049,0,0,0.0066,0.0079,0.0416,0.0277,0.0213,0.0171,0.0324,0.0649,0.0047
9.8,1.8,2.439,3.3718,3.7042,0.0915,0.9691,10.6478,0.1142,0.0262,0.6213,0.7997,0.0088,0,0,0,0.0078,0.0213,0,0.0091,0.0094,0.0125,0.1054,0.0051
0,2,2.439,1.639,2.3422,2.043,0.7281,10.4824,0.1047,0.0218,0.5597,0.7724,0.0102,0,0,0,0.0126,0.0086,0.0363,0,0.0076,0,0.1522,0
0.2,2,2.439,13.7883,5.6456,2.4353,0.735,9.3762,0.0644,0.0249,0.3532,0.5543,0.0062,0.005,0.0067,0.0015,0.0087,0.0196,0.0176,0.0066,0.0035,0,0.0301,0.0022
0.4,2,2.439,4.3626,1.9079,1.7412,0.6532,11.4283,0.0675,0.0386,0.5745,0.6453,0.0034,0,0,0,0.0232,0.0148,0.0211,0.0121,0.0242,0.0442,0.1688,0.0021
0.6,2,2.439,0,0.1732,2.0413,0.6267,12.0009,0.0923,0.0384,0.6159,0.751,0.0169,0,0.0108,0.0098,0.0486,0.0554,0.0378,0.0379,0.0043,0,0.1557,0.0023
0.8,2,2.439,4.7449,1.0627,1.7119,0.637,11.0761,0.0825,0.0368,0.5471,0.6681,0.0065,0,0.0056,0,0,0.024,0.0078,0.0198,0.0168,0.0123,0.0455,0
1,2,2.439,8.229,4.3211,1.9746,0.7119,10.3631,0.0718,0.0306,0.4571,0.5831,0.0086,0,0.0046,0.0094,0.0128,0,0.0151,0,0.0021,0.0126,0.0352,0.0019
1.2,2,2.439,1.0773,1.8304,2.191,0.607,11.168,0.109,0.0485,0.5812,0.6793,0.004,0,0.0111,0.0011,0.0064,0.0169,0.0513,0.0231,0.0238,0.0297,0.1076,0
1.4,2,2.439,4.9223,0.7989,2.2344,0.5933,10.4973,0.076,0.0382,0.5151,0.5873,0.0102,0,0,0,0.0133,0.0064,0.0139,0.0218,0.0015,0,0.1108,0
1.6,2,2.439,10.9952,1.3529,2.0644,0.5893,10.4948,0.0763,0.0256,0.4344,0.5578,0.0139,0,0.0026,0,0.0127,0.0055,0.0191,0.0234,0.0078,0.0212,0.0681,0.0037
1.8,2,2.439,4.9927,3.1558,2.2588,0.6642,10.444,0.0819,0.0566,0.4832,0.6269,0.0059,0,0.0089,0.0193,0.0173,0.0272,0.029,0,0.0049,0.0237,0.0264,0.0026
2,2,2.439,3.5518,3.3282,1.9281,0.7456,10.3143,0.106,0.0753,0.5223,0.6851,0.0135,0,0,0.0094,0.0088,0.0112,0.0163,0.0204,0,0.0105,0.0761,0.0075
2.2,2,2.439,7.1468,1.5914,2.6537,0.7022,9.9212,0.0901,0.0758,0.4709,0.6904,0.0144,0,0.009,0.0089,0.0164,0.0164,0.0191,0,0.0094,0.0149,0.1292,0.0007
2.4,2,2.439,12.777,3.386,2.0759,0.8102,9.8646,0.0713,0.0534,0.4164,0.5477,0.0087,0,0.0057,0.0027,0.0157,0.0157,0.0255,0.014,0.0045,0.0192,0.0836,0
2.6,2,2.439,9.2306,1.3775,2.3316,0.8145,9.3762,0.1084,0.0826,0.4668,0.6909,0.0146,0,0.0039,0.0087,0.009,0.0281,0.0079,0.0119,0.0181,0.0193,0.0274,0.0022
2.8,2,2.439,10.0949,3.3947,1.8371,0.8257,9.5491,0.1039,0.0737,0.4541,0.5748,0.01,0,0,0.0078,0.0207,0.014,0.0142,0.0049,0.0047,0.0146,0.096,0.0013
3,2,2.439,7.9063,2.4485,0.7258,0.8323,10.192,0.0767,0.0695,0.5126,0.5906,0.0047,0,0.0085,0.0049,0.0203,0,0.0183,0.0105,0,0,0.0179,0.0022
3.2,2,2.439,1.6395,3.8952,0.1339,1.0146,9.6714,0.1375,0.142,0.6724,0.9625,0.02,0,0.0049,0.0032,0.0215,0.0424,0.0389,0.0272,0.0051,0,0.0426,0.0052
3.4,2,2.439,7.6022,4.333,0.0199,0.9669,9.8735,0.102,0.1019,0.5031,0.6706,0.0123,0,0.006,0.0037,0.0199,0.009,0.0283,0.007,0,0.0171,0.0299,0.0067
3.6,2,2.439,4.852,5.5995,0,1.0904,8.9403,0.1331,0.1669,0.5775,0.7813,0.0179,0.0027,0.0048,0.0181,0.0353,0.0286,0.0206,0.0123,0.015,0,0.0397,0.0039
3.8,2,2.439,5.8836,2.7538,0,1.0443,8.5247,0.1292,0.2,0.6181,1.1026,0.0239,0,0,0.0195,0,0.0135,0.0207,0.0081,0.007,0.0232,0.076,0.0041
4,2,2.439,8.0956,4.9299,0,0.8364,10.8732,0.0913,0.1244,0.8373,0.6354,0.0049,0,0.004,0.0014,0.022,0.0117,0.0363,0.0236,0.0042,0,0.0455,0.0014
4.2,2,2.439,8.2502,2.8018,0.0283,0.7567,10.922,0.0976,0.0907,0.577,0.5949,0.0171,0,0.0047,0,0.0282,0.0202,0.0047,0.0166,0.0123,0.012,0.0867,0.0032
4.4,2,2.439,4.5152,2.3478,0,0.7814,11.4133,0.0958,0.113,0.6247,0.6853,0.0123,0,0.0078,0.011,0.0161,0.0262,0.0338,0,0,0,0.0851,0.0006
4.6,2,2.439,13.3278,7.0334,0,0.874,9.9,0.0948,0.1238,0.4761,0.5678,0.0069,0,0,0,0.0107,0.0114,0.0116,0.0316,0.0085,0,0.0307,0.0024
4.8,2,2.439,7.9789,5.1202,0,1.0615,9.7866,0.1152,0.1645,0.5173,0.7231,0.0123,0,0.005,0.0106,0.0129,0.0055,0.0317,0.0073,0.0191,0.0318,0.101,0.0048
5,2,2.439,5.0185,3.5486,0,1.035,9.4585,0.1541,0.1681,0.5899,0.9911,0.0166,0,0.0029,0.0008,0.0091,0,0.0192,0.0134,0.006,0.022,0.1173,0.0012
5.2,2,2.439,7.6927,6.1924,0.2058,1.0751,8.283,0.1293,0.1562,0.4475,0.9929,0.0138,0.0038,0.012,0,0,0.0164,0.0124,0.0262,0.0182,0.0148,0.0532,0.0066
5.4,2,2.439,5.4331,6.9838,0,1.0033,7.2399,0.1553,0.1029,0.4376,1.262,0.0159,0.0014,0.0057,0,0.0178,0.0032,0.0159,0.0077,0.012,0.009,0.063,0.0012
5.6,2,2.439,4.9594,4.8865,0.0877,0.9756,8.8962,0.13,0.1249,0.5315,0.937,0.0097,0.0031,0.0062,0.0116,0.0158,0.0365,0.0354,0,0.0105,0.0138,0.0628,0.0065
5.8,2,2.439,4.3709,4.2581,0.0467,1.0322,8.1699,0.1524,0.1503,0.5481,1.0595,0.01,0,0.0071,0.0196,0.0278,0.0373,0.0298,0.0117,0.0051,0.0293,0.0786,0.0048
6,2,2.439,6.2659,7.1764,0.0732,1.0729,8.3042,0.1428,0.1057,0.4907,0.8903,0.0114,0,0.0074,0.0008,0,0.0187,0.0225,0.0176,0.0058,0.0289,0.0591,0.0048
6.2,2,2.439,9.6085,6.0127,0.0895,1.0497,8.3904,0.2104,0.0944,0.4502,0.7574,0.0086,0,0.0106,0,0,0.0186,0.0285,0.0094,0.0206,0.0113,0.1005,0.0042
6.4,2,2.439,5.9229,2.4152,0,1.0177,10.0427,0.12,0.1013,0.5795,0.8159,0.0049,0,0.0152,0.0012,0.0278,0.0114,0.0094,0.0078,0.0045,0.0131,0.0868,0.003
6.6,2,2.439,12.9182,5.9034,0,1.007,9.8127,0.1049,0.077,0.4495,0.6349,0.0077,0,0.0044,0.0035,0.0249,0.0083,0.0024,0.0048,0.0124,0,0.0972,0.003
6.8,2,2.439,12.5172,6.6821,0.0341,1.0719,8.9977,0.0903,0.069,0.4433,0.7297,0.0019,0,0.0079,0,0.0114,0.0129,0.0125,0,0.0032,0.0198,0.0879,0.0037
7,2,2.439,0.7914,2.8373,0.0154,0.9405,9.4975,0.1423,0.084,0.6863,1.4052,0.0061,0.005,0.0175,0.0033,0.0122,0.0424,0.0335,0.0201,0.0136,0.0378,0.0724,0.0039
7.2,2,2.439,12.0462,4.0788,0.0288,0.8838,10.4389,0.0773,0.0409,0.4732,0.5685,0.0066,0,0,0,0.017,0.0322,0,0.0179,0.0054,0.023,0.1559,0.0031
7.4,2,2.439,14.7777,3.96,0.0683,0.9314,10.2954,0.1176,0.0418,0.4482,0.5801,0.0086,0.0018,0.0076,0,0.0136,0.0114,0.0219,0.0119,0.0071,0.0107,0.067,0.0018
7.6,2,2.439,12.8008,4.7843,0,1.0207,9.8592,0.0969,0.0371,0.4527,0.6001,0.0065,0.0071,0.0071,0,0.0175,0.0283,0.0035,0.0214,0.0075,0.0228,0.1136,0.0022
7.8,2,2.439,0,3.8281,0.0324,0.9549,10.0426,0.1632,0.0702,0.6653,1.0226,0.0091,0.0065,0.0319,0.0135,0.0182,0.0261,0.0602,0,0.0235,0.03,0.0213,0.0106
8,2,2.439,0,3.2777,0,0.8463,10.9849,0.1386,0.0428,0.732,0.9251,0.0081,0,0.0175,0,0.0297,0.0212,0.0179,0.0278,0,0,0.1278,0.0069
8.2,2,2.439,0,5.3073,0,0.9613,10.758,0.139,0.0385,0.6329,0.8446,0.0071,0,0.0075,0.0036,0.0026,0.0288,0,0.0237,0.0123,0,0.0847,0.0083
8.4,2,2.439,5.5823,5.1679,0.0672,0.8437,10.4756,0.13,0.0441,0.5092,0.6731,0.0062,0.0036,0.0104,0,0.0138,0.0098,0.0042,0.0158,0.0139,0.0124,0.0611,0.007
8.6,2,2.439,0,4.3426,0.1027,0.9376,10.6593,0.1577,0.0614,0.5789,0.9853,0.0097,0,0.003,0.0025,0.0231,0.0063,0.0361,0.032,0,0.0379,0.1583,0.004
8.8,2,2.439,2.8207,2.8217,0.1273,0.9116,11.1269,0.1174,0.0455,0.5999,0.8082,0.0088,0,0,0.0049,0.025,0.0184,0.0248,0.0153,0.0077,0.0116,0.125,0.0067
9,2,2.439,5.1415,4.7326,0.1056,0.8608,10.4917,0.1271,0.0284,0.5076,0.735,0.0072,0,0.0089,0,0.0019,0.0132,0.0201,0,0.0084,0.0139,0.069,0
9.2,2,2.439,1.4155,4.5225,0.0447,0.8658,10.193,0.1179,0.0215,0.6876,0.7793,0.0041,0.0059,0.0119,0,0.0427,0.0212,0.0317,0.0268,0.0067,0.0233,0.0936,0.0034
9.4,2,2.439,4.5415,0,0.0263,0.7245,11.0233,0.1193,0.0204,0.6603,0.7793,0.0139,0.0045,0.0073,0,0.0168,0,0.03,0.0121,0.0056,0.0177,0.038,0.0017
9.6,2,2.439,1.2752,5.0626,0,0.7784,10.3112,0.1201,0.0251,0.6528,1.0995,0.0057,0.0045,0.0153,0,0.0143,0.0183,0.0324,0.0243,0.01,0.0258,0.066,0.0031
9.8,2,2.439,0,4.488,0.0553,1.1288,8.7389,0.163,0.0465,0.6122,1.1764,0.0088,0,0.0132,0.0154,0.0061,0.0287,0.018,0,0.0228,0.0484,0.1407,0.0063
0,2.2,2.439,0,3.0265,1.9938,0.6865,11.3361,0.1003,0.0343,0.6427,0.7577,0.0063,0,0.0137,0,0.0247,0.0318,0.0314,0.0247,0.0122,0,0.202,0.0002
0.2,2.2,2.439,9.0739,2.7911,2.706,0.6491,10.4249,0.0729,0.037,0.4439,0.5152,0.0019,0,0.0075,0.0096,0.0118,0.0109,0.0299,0.0083,0.0092,0,0.06,0.0006
0.4,2.2,2.439,10.59,4.491,2.443,0.6601,10.4247,0.061,0.0249,0.3841,0.4964,0.0098,0,0.0053,0,0.018,0.0079,0.0219,0.0208,0.0054,0.0167,0.0644,0.0009
0.6,2.2,2.439,9.1978,2.1835,1.9895,0.691,10.9655,0.0718,0.0221,0.4569,0.5058,0,0,0.0059,0,0.0206,0.0324,0.0184,0.0216,0.0078,0.0137,0.092,0.0008
0.8,2.2,2.439,2.8782,2.0478,2.2551,0.6277,10.757,0.0817,0.0459,0.4966,0.6486,0.0098,0,0.0154,0,0.0101,0.0331,0.02,0.0223,0,0,0.1059,0.0028
1,2.2,2.439,9.9469,4.2265,2.2257,0.6986,10.6513,0.0646,0.0338,0.4409,0.4901,0.0026,0,0.0097,0,0.0256,0.0221,0.0063,0,0.0205,0.0131,0.0721,0.0042
1.2,2.2,2.439,0,3.0412,1.7562,0.7245,11.0044,0.121,0.0456,0.5795,0.7763,0.0104,0,0.0129,0,0.0226,0.0353,0.029,0.0056,0,0.0167,0.1606,0.0014
1.4,2.2,2.439,2.8982,2.4875,1.7418,0.6681,10.9275,0.1049,0.0496,0.5378,0.6746,0.0214,0,0.0101,0,0.0324,0,0.0498,0.0304,0.0094,0.0154,0.0369,0.0013
1.6,2.2,2.439,16.7531,2.6929,2.1782,0.6801,10.1074,0.0759,0.0372,0.3916,0.5283,0,0.0043,0.0029,0.0011,0.0195,0.029,0.0264,0.0135,0,0,0.1168,0.0024
1.8,2.2,2.439,1.4581,1.7597,2.0885,0.7114,11.0361,0.087,0.0545,0.5319,0.7616,0.0022,0,0,0,0.0125,0.0124,0.0591,0.0221,0.0043,0.0156,0.0428,0.0012
2,2.2,2.439,0.146,4.1772,2.3354,0.7202,9.1414,0.0901,0.094,0.4932,0.7105,0.0186,0,0.0069,0,0.0094,0.0123,0.0203,0.0232,0.0018,0.0246,0.1029,0.0025
2.2,2.2,2.439,4.1141,3.5577,1.956,0.7803,9.8861,0.0929,0.0725,0.5166,0.6316,0.0073,0,0.0088,0.0073,0.0075,0.0101,0.0221,0.0091,0.0126,0.0286,0.1055,0.009
2.4,2.2,2.439,11.2915,3.9862,1.2446,0.7408,10.0142,0.0871,0.0504,0.465,0.5213,0.0091,0,0.005,0,0.0131,0.0097,0.0144,0,0.0145,0.0051,0.0964,0.0014
2.6,2.2,2.439,3.8848,3.8585,2.3062,0.7726,10.0636,0.0883,0.0801,0.5001,0.6467,0.0081,0,0.009,0.0059,0.0168,0.0128,0.0325,0,0.0075,0.0196,0.0787,0.0008
2.8,2.2,2.439,14.8061,3.4447,1.1578,0.8216,9.8386,0.0862,0.0752,0.4293,0.5603,0.0099,0.0022,0.0076,0.0079,0.0262,0.0052,0.0186,0.0119,0,0,0.046,0.0092
3,2.2,2.439,3.9547,3.3732,1.0007,0.8388,9.9897,0.1087,0.1349,0.5603,0.7059,0.0195,0,0.0123,0.0128,0.0073,0.019,0.0048,0,0.0045,0.0446,0.1412,0.0043
3.2,2.2,2.439,6.6948,4.1596,0.755,0.8316,9.6959,0.1022,0.1347,0.5234,0.7257,0.0155,0,0.0105,0.0208,0.021,0.0289,0.0057,0,0.0065,0.009,0.1089,0.0043
3.4,2.2,2.439,8.9753,4.1844,0.4124,0.9705,9.0565,0.1044,0.16,0.4737,0.653,0.0157,0,0.0018,0,0.0113,0,0.0158,0.0229,0.0023,0.0293,0.0393,0.0055
3.6,2.2,2.439,7.8882,4.1414,0.086,1.0504,7.1498,0.1196,0.2361,0.4956,0.9226,0.0225,0.0035,0.008,0.0028,0,0.013,0.0277,0.0243,0.0065,0.0182,0.0723,0.0044
3.8,2.2,2.439,0,5.4484,0.0208,1.2509,8.1581,0.1699,0.3688,0.684,1.3156,0.0327,0.0033,0.0096,0.0333,0.0267,0.0048,0.0504,0.0278,0.0139,0.0483,0.0686,0.012
4,2.2,2.439,0,3.8932,0,1.2854,8.3821,0.1667,0.435,0.7209,1.2036,0.0316,0.003,0.0182,0.0255,0.0273,0.045,0.0321,0.0245,0.0102,0.0418,0.0338,0.009
4.2,2.2,2.439,2.8432,2.1873,0,0.9109,11.0195,0.1414,0.2345,0.6874,0.8551,0.0209,0,0.0113,0,0.0275,0.0185,0.0254,0.0313,0.0172,0.0282,0.1519,0.0088
4.4,2.2,2.439,8.2397,1.9634,0,0.8819,10.9965,0.0934,0.1603,0.5789,0.6468,0.0133,0,0.0112,0,0.0224,0.0112,0.0168,0.0133,0.0174,0.0139,0.13,0.0052
4.6,2.2,2.439,0,4.7384,0,0.9911,10.5046,0.1359,0.2065,0.707,0.8649,0.0147,0.0047,0.0092,0.011,0.0186,0.0292,0.0322,0,0.0235,0.0277,0.1625,0.0042
4.8,2.2,2.439,10.9042,6.3164,0,1.0594,8.8499,0.1091,0.1536,0.441,0.6719,0.0075,0,0.006,0,0.0181,0.0035,0.0091,0.0125,0.0085,0.019,0.0309,0
5,2.2,2.439,1.4562,6.6574,0,1.132,8.5646,0.1496,0.2045,0.5335,1.1832,0.0225,0,0.0036,0,0.0274,0.0107,0.026,0.0135,0,0.0205,0.0709,0.0031
5.2,2.2,2.439,3.4686,6.512,0.0236,1.0474,8.5521,0.1415,0.1559,0.4964,0.9978,0.0133,0,0.0115,0.0081,0.0126,0.0151,0.0296,0.0238,0.0049,0.0222,0.0978,0.0038
5.4,2.2,2.439,0.1991,5.9669,0,0.9374,9.4068,0.1333,0.16,0.5797,1.0396,0.015,0.0052,0.0137,0.0043,0.0271,0.0214,0.043,0.0254,0.0174,0.0273,0.024,0.0081
5.6,2.2,2.439,10.3992,7.7288,0,1.0676,8.7795,0.1091,0.1118,0.4117,0.7193,0.0125,0,0.0053,0,0.0113,0.0124,0.022,0.0334,0.0086,0,0.0494,0.0018
5.8,2.2,2.439,8.83,6.2673,0,1.0485,8.7633,0.13,0.1204,0.4595,0.7815,0.015,0,0,0.008,0.0166,0.0101,0.0278,0.0087,0.0117,0.0169,0.1017,0.0072
6,2.2,2.439,9.1792,5.3323,0.0164,1.138,8.1507,0.1281,0.1121,0.4639,1.4072,0.0094,0.0032,0.009,0.011,0.0128,0.0145,0.0045,0.0156,0.0022,0.0289,0.1173,0.0027
6.2,2.2,2.439,8.6382,1.68,0.0085,0.8311,10.4644,0.1122,0.094,0.5277,0.6662,0.0147,0.0043,0.0105,0,0.0137,0,0.0372,0.0265,0.0074,0,0.0375,0.0022
6.4,2.2,2.439,8.622,1.5126,0,0.7808,10.7302,0.1056,0.0816,0.5643,0.6259,0.0118,0,0,0.0026,0.0091,0.0319,0.0161,0.0097,0,0.0217,0.153,0.0072
6.6,2.2,2.439,5.4526,4.9537,0,0.7472,11.1573,0.1122,0.0502,0.5503,0.6381,0.0093,0.0035,0.011,0,0.0324,0.0137,0.0262,0.0081,0.0135,0.0184,0.0744,0.0046
6.8,2.2,2.439,0,5.2127,0.0258,1.0461,9.3918,0.1425,0.1015,0.6133,1.128,0.0112,0,0.0229,0.0108,0.0205,0.0201,0.0136,0.0173,0.02,0.0234,0.0815,0.0096
7,2.2,2.439,2.6187,4.478,0,0.9743,9.9991,0.1301,0.0681,0.6059,0.8049,0.0027,0,0.0081,0,0.0155,0.0441,0.0015,0,0.0104,0,0.1231,0.0011
7.2,2.2,2.439,0,3.0418,0,1.0231,10.7798,0.1808,0.0807,0.7169,1.0077,0.0175,0,0.01,0.0184,0.0338,0.0577,0.0181,0.0311,0.0204,0,0.1054,0.007
7.4,2.2,2.439,7.5108,4.1719,0,0.9208,10.5656,0.1108,0.0566,0.5247,0.6973,0.0059,0.0026,0.0072,0,0.0314,0.0231,0.029,0.0209,0.0026,0.0211,0.0373,0.0029
7.6,2.2,2.439,5.5674,3.6692,0,0.8727,10.6993,0.1193,0.0506,0.6609,0.7652,0.0107,0,0.0068,0.0094,0.0272,0.0302,0.0184,0.0087,0.0157,0.0465,0.1314,0
7.8,2.2,2.439,8.2044,4.6981,0,1.0296,9.5863,0.1076,0.0492,0.4731,0.7463,0.0123,0,0.0122,0.0107,0.0168,0.0178,0.0229,0,0.0109,0.0194,0.1086,0.0038
8,2.2,2.439,0.2611,4.9993,0,0.8657,10.5729,0.1063,0.044,0.6577,0.7985,0,0,0,0,0.0048,0.0267,0.0125,0.0477,0,0.0186,0.1113,0.007
8.2,2.2,2.439,16.7605,2.9124,0,0.843,10.6984,0.0641,0.0335,0.433,0.5038,0.0063,0,0.0062,0,0.0124,0.0118,0.0111,0.0211,0,0.0114,0.0959,0.0003
8.4,2.2,2.439,3.3053,4.2704,0,0.9352,10.7964,0.1367,0.0419,0.5845,0.8541,0,0,0.0102,0.0097,0.0186,0.0162,0.0334,0.0141,0.01,0.0108,0.1849,0.004
8.6,2.2,2.439,9.677,4.5538,0.1092,0.7824,10.8993,0.098,0.0314,0.4705,0.5976,0.003,0,0.0118,0.0092,0.0069,0.01,0.0151,0.0065,0.005,0,0.0985,0.008
8.8,2.2,2.439,11.8748,4.3416,0.0415,0.9183,10.0323,0.0945,0.0297,0.459,0.5894,0.0071,0,0.0055,0.007,0.0123,0.0088,0.0142,0,0.0064,0.0163,0.078,0.0032
9,2.2,2.439,0,4.0989,0.0487,0.8162,9.6392,0.0981,0.0334,0.6221,0.8246,0.0112,0,0.0163,0,0.0194,0.0372,0.0285,0.0287,0.0132,0.0229,0.0334,0
9.2,2.2,2.439,7.1777,6.7238,0,0.8429,10.0079,0.1068,0.0214,0.4695,0.6789,0.0075,0,0.0078,0.0014,0.0214,0.0302,0.0163,0.021,0.0062,0.0191,0.0705,0.0026
9.4,2.2,2.439,4.0558,3.861,0.0586,0.7465,11.3449,0.1036,0.0191,0.5521,0.6734,0.0106,0,0.0142,0,0.0322,0.0164,0.0373,0.0112,0.0153,0,0,0.0053
9.6,2.2,2.439,10.7225,6.2637,0.0621,0.9283,10.0084,0.1302,0.0102,0.4489,0.6392,0,0,0.0053,0,0.0092,0.0099,0.0135,0.025,0.0035,0.0114,0.1232,0.0005
9.8,2.2,2.439,0,2.6777,0,0.7853,10.2499,0.1235,0.0272,0.7839,0.7879,0.0101,0,0.0125,0,0,0.0085,0.0087,0.0246,0.0167,0.0199,0.0454,0
0,2.4,2.439,4.9331,2.4686,2.4791,0.6953,10.6102,0.0936,0.0324,0.4816,0.6106,0.0039,0,0,0.0151,0.0152,0.0132,0.0164,0,0.0044,0.0161,0.0682,0.0055
0.2,2.4,2.439,6.8637,3.2878,2.626,0.6799,10.3605,0.0803,0.0294,0.4535,0.5334,0,0,0.0034,0,0.0228,0.0394,0.0139,0.0197,0.0134,0,0.0596,0
0.4,2.4,2.439,9.0208,3.43,2.5848,0.6364,10.3301,0.0641,0.0306,0.4189,0.5101,0.0033,0,0,0.0102,0.0089,0.0113,0.0225,0,0.0082,0.0111,0.0388,0
