X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
5.699,7.599,0,7.5541,11.9462,0.0,2.0728,19.6355,0.2895,0.1031,0.9033,1.4061,0.0,0.0043,0.045,0.0,0.0459,0.0455,0.0548,0.0383,0.0,0.0658,0.3788,0.0218,0.0,0.0,Ca,S,19.6355,0.0
5.799,7.599,0,15.4242,14.077,0.0324,1.9501,17.0581,0.2661,0.0866,0.7362,1.3919,0.0,0.0,0.0168,0.0,0.0709,0.0624,0.049,0.0096,0.02,0.0288,0.0,0.0192,0.0,0.0,Ca,Ni,17.0581,0.0
5.899,7.599,0,4.4468,5.6465,0.0,1.8117,17.5112,0.3268,0.1412,1.0508,2.0588,0.0127,0.0078,0.0481,0.0,0.0,0.0316,0.1065,0.0481,0.0208,0.0,0.3207,0.0155,0.0,0.0,Ca,S,17.5112,0.0
5.999,7.599,0,18.7464,13.153,0.0,2.2256,17.9861,0.2527,0.1052,0.843,1.3679,0.0054,0.0,0.0213,0.0,0.0045,0.0116,0.0828,0.0257,0.0107,0.0066,0.1699,0.0113,0.0393,0.0064,Al,S,18.7464,0.0
6.099,7.599,0,6.0813,7.7545,0.0,2.4823,20.1256,0.2192,0.1345,1.1408,1.7662,0.0,0.0117,0.0279,0.0,0.0093,0.0215,0.0933,0.0253,0.0,0.0924,0.0884,0.0025,0.0,0.0381,Ca,S,20.1256,0.0
6.199,7.599,0,26.5296,9.6422,0.0,3.2344,18.1745,0.2012,0.0691,0.7355,1.215,0.0,0.0,0.0155,0.0,0.0495,0.0389,0.0479,0.0602,0.0139,0.0284,0.4222,0.0065,0.0,0.0123,Al,S,26.5296,0.0
6.299,7.599,0,16.1642,8.6173,0.0,2.3393,16.8534,0.2337,0.0825,0.8249,1.6123,0.0,0.0,0.0,0.0104,0.0587,0.0303,0.1072,0.0193,0.0048,0.0656,0.0,0.0182,0.0,0.0,Ca,S,16.8534,0.0
6.399,7.599,0,19.3149,11.3028,0.0,1.7021,16.803,0.2176,0.0655,0.772,1.4242,0.033,0.0,0.0131,0.014,0.0578,0.03,0.1256,0.047,0.009,0.0096,0.2031,0.0108,0.0493,0.0194,Al,S,19.3149,0.0
6.499,7.599,0,0.0,8.4737,0.0974,1.5808,17.9696,0.2499,0.1242,1.0701,1.6273,0.0271,0.0,0.0199,0.0,0.0251,0.0381,0.0803,0.0421,0.0098,0.0608,0.2917,0.0036,0.0,0.0122,Ca,Al,17.9696,0.0
6.599,7.599,0,5.1077,9.588,0.1081,2.1189,19.9505,0.2726,0.1192,1.0399,1.7844,0.0,0.0165,0.0,0.0,0.1185,0.1664,0.0127,0.0335,0.0057,0.1114,0.1548,0.0,0.0,0.0289,Ca,Ni,19.9505,0.0
6.699,7.599,0,18.8336,9.5021,0.1524,2.2257,19.8427,0.2917,0.0776,0.9018,1.4943,0.0231,0.0,0.0364,0.0,0.0185,0.0108,0.0638,0.0431,0.0391,0.0,0.0992,0.0218,0.0,0.0,Ca,Cu,19.8427,0.0
6.799,7.599,0,3.5961,6.211,0.0,2.2655,21.7785,0.4248,0.1407,1.2132,2.0962,0.0258,0.0,0.0633,0.0216,0.0964,0.0975,0.1528,0.0485,0.0191,0.0,0.2922,0.0236,0.0,0.0061,Ca,S,21.7785,0.0
6.899,7.599,0,11.0665,6.9617,0.0,2.0418,20.2104,0.5889,0.091,0.9954,1.7541,0.015,0.0,0.0236,0.0024,0.0236,0.0415,0.0802,0.0181,0.0,0.0,0.306,0.0012,0.0,0.0,Ca,S,20.2104,0.0
6.999,7.599,0,33.6311,10.7289,0.0,2.1388,18.6086,0.2322,0.0808,0.7809,1.1739,0.0,0.0,0.015,0.0,0.0387,0.0809,0.0344,0.0114,0.0,0.0,0.1785,0.0036,0.0175,0.0109,Al,S,33.6311,0.0
7.099,7.599,0,17.0619,9.8071,0.0,2.3255,19.7336,0.2389,0.1187,0.9177,1.5625,0.0,0.0,0.0287,0.0852,0.1064,0.0437,0.0892,0.0,0.009,0.0239,0.3474,0.0127,0.0,0.0053,Ca,S,19.7336,0.0
