X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
0.0,0.0,0,20.4002,7.703,0.0,2.1812,25.3912,0.2904,0.059,1.1241,1.7495,0.0,0.0,0.0319,0.0453,0.0756,0.0509,0.0541,0.0235,0.0,0.0,0.2562,0.0074,0.0,0.0225,Ca,S,25.3912,0.0
0.1,0.0,0,33.3731,12.1282,0.0092,2.3504,23.2857,0.2044,0.0441,0.9011,1.5462,0.0,0.0,0.0136,0.0311,0.0254,0.0533,0.0249,0.0,0.0167,0.0,0.2864,0.0073,0.0,0.0,Al,Ni,33.3731,0.0
0.2,0.0,0,27.0886,12.0074,0.0,2.3232,24.1362,0.3054,0.0152,0.922,1.6873,0.0129,0.0,0.0306,0.0,0.0376,0.0482,0.031,0.0,0.0369,0.1084,0.2573,0.0042,0.0,0.0124,Al,S,27.0886,0.0
0.3,0.0,0,9.46,7.5788,0.0,1.9355,24.7502,0.3954,0.0598,1.1443,2.0916,0.0143,0.0,0.0286,0.0,0.0228,0.1219,0.0632,0.0,0.0317,0.0,0.1791,0.0144,0.0,0.0,Ca,S,24.7502,0.0
0.4,0.0,0,20.5199,5.8448,0.0,1.9086,25.0017,0.3819,0.022,1.047,1.8759,0.0,0.0057,0.0103,0.0275,0.0209,0.0736,0.081,0.0,0.0257,0.0447,0.2149,0.009,0.0,0.0,Ca,S,25.0017,0.0
0.5,0.0,0,13.3371,8.4197,0.0,1.8858,26.2527,0.2948,0.0554,1.1109,1.7468,0.0143,0.0,0.0,0.0,0.0269,0.0415,0.0823,0.0317,0.0,0.0,0.0418,0.0168,0.0654,0.0,Ca,S,26.2527,0.0
0.6,0.0,0,33.6176,5.8071,0.0,1.5806,27.9879,0.1395,0.0406,1.024,1.0955,0.0076,0.0072,0.0,0.0292,0.0575,0.0313,0.0542,0.0,0.041,0.0,0.201,0.0203,0.0,0.0,Al,S,33.6176,0.0
0.7,0.0,0,7.7752,12.9061,0.0221,1.3762,31.7444,0.1545,0.019,1.4172,1.045,0.0,0.0,0.0,0.0262,0.0236,0.0943,0.0,0.0773,0.0138,0.0,0.7061,0.0085,0.0,0.0,Ca,Ni,31.7444,0.0
0.8,0.0,0,9.5471,6.9422,0.0,1.4126,31.3731,0.1879,0.0393,1.398,1.202,0.0052,0.0,0.0271,0.0495,0.1432,0.0803,0.1176,0.0288,0.0142,0.0773,0.6151,0.0164,0.0,0.0233,Ca,S,31.3731,0.0
0.9,0.0,0,0.0,3.1894,0.0,1.5855,31.2403,0.2612,0.0655,1.6116,1.9503,0.0146,0.0,0.0479,0.0,0.0,0.1598,0.0563,0.2127,0.0118,0.142,0.7559,0.0375,0.0,0.0492,Ca,Al,31.2403,0.0
1.0,0.0,0,23.8125,6.5433,0.0,1.8048,27.6184,0.2233,0.0333,1.0199,1.333,0.0101,0.0,0.0344,0.0548,0.003,0.0932,0.0864,0.0,0.0,0.0,0.4415,0.0075,0.0,0.0,Ca,S,27.6184,0.0
1.1,0.0,0,41.0749,8.2547,0.0,1.9274,25.1154,0.2075,0.0289,0.8484,1.1018,0.0,0.0,0.0186,0.0,0.0,0.1006,0.0,0.0945,0.0175,0.0,0.0795,0.0265,0.0,0.0169,Al,S,41.0749,0.0
1.2,0.0,0,19.2464,12.6837,0.0041,2.2927,23.7249,0.2666,0.0336,0.8971,1.3659,0.0045,0.0046,0.0377,0.0,0.0033,0.0,0.0303,0.0445,0.0,0.0,0.0,0.0069,0.0,0.0,Ca,As,23.7249,0.0
1.3,0.0,0,8.4996,10.3994,0.0,1.9429,22.971,0.213,0.0434,1.0618,1.3423,0.0,0.0,0.0172,0.0111,0.0682,0.093,0.1533,0.0,0.0,0.0441,0.0702,0.0208,0.0,0.0106,Ca,S,22.971,0.0
1.4,0.0,0,17.7678,13.8665,0.0,1.4552,22.1803,0.1543,0.0256,0.9585,0.9013,0.0055,0.0,0.0,0.0,0.0645,0.0,0.0375,0.0,0.0,0.0,0.0,0.0097,0.0,0.0223,Ca,S,22.1803,0.0
1.5,0.0,0,29.9412,18.0335,0.0,1.5827,22.4948,0.1413,0.0351,0.8478,0.7722,0.0088,0.0,0.0161,0.0,0.0,0.0165,0.0434,0.0,0.0359,0.0,0.0,0.0,0.0,0.0,Al,S,29.9412,0.0
1.6,0.0,0,20.6326,13.8958,0.0,1.6822,22.0978,0.1515,0.0728,0.894,1.0536,0.0115,0.0,0.0,0.012,0.0755,0.0348,0.0263,0.0565,0.0391,0.0,0.2608,0.013,0.0,0.0,Ca,S,22.0978,0.0
1.7,0.0,0,0.0,9.0066,0.0486,1.9678,24.7552,0.216,0.065,1.4255,1.7347,0.0172,0.0,0.0,0.0397,0.0723,0.0797,0.0777,0.0,0.0,0.0782,0.2698,0.0141,0.0,0.0234,Ca,Al,24.7552,0.0
1.8,0.0,0,24.2736,5.0311,0.0,1.9594,22.906,0.1481,0.0502,1.0132,1.1255,0.0144,0.0,0.0,0.0137,0.0481,0.066,0.0367,0.0,0.0055,0.0766,0.1138,0.0085,0.0336,0.0,Al,S,24.2736,0.0
1.9,0.0,0,0.0,2.8666,0.0597,1.7372,25.6047,0.2986,0.0791,1.5866,1.8489,0.0,0.0,0.041,0.0198,0.0,0.1447,0.06,0.0398,0.055,0.0,0.2042,0.0249,0.0,0.034,Ca,Al,25.6047,0.0
2.0,0.0,0,18.4718,8.5275,0.0,1.8162,24.6362,0.2284,0.0452,1.0938,1.3913,0.0117,0.0,0.0368,0.0417,0.0402,0.0454,0.1481,0.0394,0.0,0.0473,0.0,0.0122,0.014,0.0037,Ca,S,24.6362,0.0
2.1,0.0,0,0.0,8.0579,0.0,1.9621,24.9057,0.2294,0.0828,1.4413,2.1069,0.0,0.0,0.0262,0.0417,0.0,0.0152,0.0553,0.0244,0.107,0.0,0.1011,0.0274,0.0,0.0,Ca,Al,24.9057,0.0
2.2,0.0,0,8.1669,7.2205,0.0,1.9008,23.2079,0.2492,0.0634,1.2239,1.8478,0.0,0.0111,0.0417,0.0598,0.0388,0.088,0.0806,0.0,0.0,0.0,0.0,0.017,0.0,0.0,Ca,S,23.2079,0.0
2.3,0.0,0,21.6655,6.7219,0.0,2.0802,21.7834,0.2355,0.0554,1.0876,1.6836,0.0152,0.0,0.0,0.0182,0.0736,0.0512,0.1024,0.0,0.0096,0.0795,0.0831,0.0127,0.0157,0.0072,Ca,S,21.7834,0.0
2.4,0.0,0,13.2241,9.0216,0.1882,2.0967,22.0499,0.2967,0.0693,1.1843,1.9598,0.009,0.0,0.0336,0.0216,0.0244,0.079,0.0347,0.0,0.0585,0.0,0.2041,0.0175,0.0,0.0121,Ca,Cu,22.0499,0.0
2.5,0.0,0,0.0,11.7972,0.0,2.0199,22.7143,0.328,0.0664,1.4299,2.2077,0.0077,0.0,0.0112,0.0055,0.1522,0.058,0.0958,0.0253,0.0228,0.0,0.1863,0.0312,0.0,0.0096,Ca,Al,22.7143,0.0
2.6,0.0,0,5.752,8.8787,0.0,1.988,21.9587,0.3778,0.0595,1.3603,1.8161,0.0107,0.0,0.0,0.0,0.0419,0.0401,0.093,0.0842,0.0466,0.0,0.1183,0.0455,0.0,0.0,Ca,S,21.9587,0.0
2.7,0.0,0,31.0502,18.0442,0.0,1.8065,20.5235,0.249,0.0344,0.9031,1.1439,0.0063,0.0,0.0243,0.009,0.0271,0.022,0.0651,0.0514,0.0,0.0,0.273,0.0079,0.0,0.0116,Al,S,31.0502,0.0
2.8,0.0,0,0.0,6.334,0.0,1.793,21.3184,0.5031,0.0708,1.3987,2.1063,0.0,0.0157,0.0459,0.0053,0.0358,0.0729,0.0949,0.1485,0.1186,0.0,0.1649,0.046,0.0,0.0044,Ca,Al,21.3184,0.0
2.9,0.0,0,28.4504,18.0659,0.0,2.032,18.9247,0.3294,0.0482,0.8302,1.3908,0.0318,0.0,0.0,0.0,0.0133,0.0701,0.0734,0.0304,0.0093,0.0,0.0421,0.0194,0.0,0.0307,Al,S,28.4504,0.0
3.0,0.0,0,18.4551,12.6428,0.0,1.8744,19.3075,0.2471,0.0307,0.965,1.7214,0.0077,0.0,0.0295,0.0102,0.0083,0.0605,0.082,0.0,0.0604,0.0201,0.1594,0.0111,0.0,0.0,Ca,S,19.3075,0.0
3.1,0.0,0,8.1187,11.6963,0.356,2.2158,21.2756,0.2246,0.0582,1.1812,2.0528,0.0,0.0116,0.0505,0.014,0.0752,0.0298,0.2347,0.0079,0.0131,0.0442,0.24,0.0274,0.0,0.0,Ca,Ni,21.2756,0.0
3.2,0.0,0,0.0,7.598,0.0,2.1432,21.7614,0.2813,0.104,1.4663,2.3859,0.0,0.0,0.0,0.0,0.0132,0.0,0.2688,0.108,0.0,0.0,0.3097,0.017,0.0,0.0,Ca,Al,21.7614,0.0
3.3,0.0,0,38.6369,18.8714,0.0,2.2838,19.7685,0.1795,0.0721,0.7823,1.3006,0.0181,0.0,0.0344,0.0179,0.0628,0.0336,0.1198,0.0209,0.0366,0.0186,0.0,0.0011,0.0,0.0,Al,S,38.6369,0.0
3.4,0.0,0,18.5052,13.5061,0.0,2.3446,20.9899,0.2108,0.08,1.0094,1.574,0.0255,0.0,0.0292,0.0269,0.0266,0.0489,0.1066,0.0195,0.0,0.0,0.4359,0.0118,0.0,0.0,Ca,S,20.9899,0.0
3.499,0.0,0,2.122,9.5318,0.0,2.5211,21.8324,0.3066,0.0955,1.332,2.1993,0.0,0.0,0.0326,0.0187,0.0553,0.0824,0.1025,0.0312,0.0225,0.0,0.2441,0.0,0.0,0.0,Ca,S,21.8324,0.0
3.599,0.0,0,25.8872,12.751,0.0,2.7106,19.3513,0.2569,0.0619,0.8997,1.4576,0.0,0.0,0.0141,0.0186,0.016,0.0797,0.0404,0.0,0.0105,0.0,0.0,0.0203,0.0,0.0203,Al,S,25.8872,0.0
3.699,0.0,0,4.9594,8.9564,0.0,2.8618,20.8378,0.4069,0.0899,1.1881,1.9284,0.011,0.0,0.0606,0.0106,0.035,0.017,0.1613,0.0803,0.0258,0.103,0.687,0.0178,0.0,0.0,Ca,S,20.8378,0.0
3.799,0.0,0,44.9562,5.9384,0.0,1.8968,18.9724,0.2391,0.0582,0.7906,1.2176,0.0,0.0,0.0207,0.0,0.0243,0.0286,0.0933,0.0,0.011,0.1151,0.0717,0.009,0.0,0.0,Al,S,44.9562,0.0
3.899,0.0,0,9.6481,5.1531,0.3342,1.9227,22.0734,0.3396,0.0864,1.1906,1.7717,0.0152,0.013,0.0,0.0463,0.0675,0.1342,0.0817,0.0225,0.0203,0.0247,0.1118,0.0253,0.0,0.0,Ca,Zn,22.0734,0.0
3.999,0.0,0,19.9077,11.0583,0.1198,1.9033,22.3376,0.2549,0.0676,0.9203,1.4778,0.0064,0.0,0.0,0.0265,0.0614,0.0427,0.0961,0.0,0.0,0.0,0.1506,0.0208,0.0757,0.0139,Ca,Cu,22.3376,0.0
4.099,0.0,0,5.6414,7.0184,0.1034,2.2382,23.7318,0.3096,0.0922,1.2662,2.1417,0.0174,0.0,0.078,0.0,0.1453,0.0876,0.0903,0.2148,0.0382,0.0,0.4397,0.0183,0.0325,0.0,Ca,Cu,23.7318,0.0
4.199,0.0,0,10.8619,8.3494,0.0,2.4057,22.9433,0.2445,0.0737,1.1426,1.9568,0.0394,0.0,0.009,0.0456,0.074,0.0524,0.1395,0.0,0.0056,0.0954,0.3141,0.0101,0.0125,0.0,Ca,S,22.9433,0.0
4.299,0.0,0,34.063,11.2887,0.0,2.4483,22.2689,0.242,0.0521,0.8423,1.3777,0.0076,0.0023,0.0283,0.0177,0.0,0.0299,0.0702,0.0,0.0,0.0,0.0,0.0188,0.0085,0.004,Al,S,34.063,0.0
4.399,0.0,0,35.3407,13.9305,0.1793,2.2434,22.5814,0.233,0.0517,0.8377,1.4803,0.0173,0.0127,0.0455,0.0358,0.0379,0.1118,0.0111,0.0425,0.0,0.037,0.3759,0.0109,0.0,0.0311,Al,Rb,35.3407,0.0
4.499,0.0,0,40.8319,10.4819,0.0,2.1822,22.6025,0.1919,0.0816,0.8174,1.3949,0.0182,0.0,0.0075,0.0,0.0744,0.0253,0.0555,0.0202,0.0089,0.0,0.0898,0.0075,0.0116,0.0,Al,S,40.8319,0.0
4.599,0.0,0,0.0,5.5855,0.1546,2.2856,24.6847,0.3589,0.0996,1.377,2.403,0.0188,0.0154,0.0421,0.0885,0.035,0.0,0.0875,0.0,0.0,0.0848,0.4281,0.024,0.0,0.0,Ca,Al,24.6847,0.0
4.699,0.0,0,23.2483,7.7313,0.0,2.284,23.5112,0.2678,0.0875,0.9459,1.5989,0.0086,0.0,0.0,0.0206,0.075,0.0826,0.0,0.0417,0.0209,0.0,0.1862,0.0092,0.0,0.0,Ca,S,23.5112,0.0
4.799,0.0,0,8.6498,6.9976,0.0,2.2913,24.2321,0.3486,0.1061,1.1298,1.9221,0.0,0.0,0.0174,0.0349,0.1079,0.0537,0.0847,0.1349,0.0509,0.0379,0.0763,0.0203,0.0122,0.0103,Ca,S,24.2321,0.0
4.899,0.0,0,26.0756,14.6262,0.0,2.23,22.5855,0.2271,0.0702,0.8781,1.4643,0.0,0.0,0.0099,0.013,0.0188,0.0058,0.1135,0.1016,0.0313,0.0,0.1373,0.0118,0.0,0.0378,Al,S,26.0756,0.0
4.999,0.0,0,11.8589,7.0703,0.0,2.2492,23.7755,0.2648,0.0755,1.0714,1.7518,0.0098,0.0,0.0215,0.0474,0.0369,0.0181,0.1174,0.06,0.0,0.0,0.0,0.0279,0.0,0.0,Ca,S,23.7755,0.0
5.099,0.0,0,1.6561,6.2405,0.0,2.4117,25.7838,0.2746,0.0965,1.2572,2.1904,0.0247,0.0124,0.0331,0.0,0.0265,0.0562,0.1361,0.1706,0.0211,0.0704,0.3705,0.034,0.1193,0.0038,Ca,S,25.7838,0.0
5.199,0.0,0,0.0,3.0839,0.0,2.234,25.692,0.3675,0.1098,1.3912,2.4306,0.0653,0.0,0.0492,0.015,0.0699,0.0,0.1315,0.0739,0.0,0.0,0.0,0.0248,0.0,0.0,Ca,Al,25.692,0.0
5.299,0.0,0,10.8334,8.3562,0.0,2.2938,23.3881,0.2147,0.0691,1.0455,1.7351,0.0195,0.0,0.0261,0.0,0.0246,0.0353,0.0213,0.1128,0.0355,0.0,0.1148,0.0276,0.0,0.0233,Ca,S,23.3881,0.0
5.399,0.0,0,6.6377,10.7965,0.0,1.9507,21.0133,0.2145,0.0928,0.9723,1.5265,0.0284,0.0,0.0381,0.0347,0.0189,0.1453,0.0,0.0,0.0308,0.041,0.4125,0.0207,0.0,0.0,Ca,S,21.0133,0.0
5.499,0.0,0,5.2706,8.0759,0.0657,1.6663,16.9571,0.1802,0.0487,0.7648,1.2716,0.0192,0.0,0.03,0.0139,0.0499,0.0444,0.2204,0.126,0.0354,0.0477,0.1897,0.0093,0.0056,0.0,Ca,Cu,16.9571,0.0
5.599,0.0,0,18.9575,4.9258,0.0,1.4068,13.9632,0.1477,0.0495,0.5742,0.904,0.0,0.0,0.0206,0.0,0.0304,0.0248,0.0432,0.0279,0.019,0.0,0.314,0.0142,0.0,0.0045,Al,S,18.9575,0.0
5.699,0.0,0,11.5366,9.6265,0.0,1.6026,15.3652,0.1893,0.0437,0.727,1.1714,0.0,0.0,0.0,0.0,0.0493,0.0626,0.1657,0.0282,0.0295,0.0773,0.3822,0.0124,0.0423,0.0,Ca,S,15.3652,0.0
5.799,0.0,0,30.1144,6.5609,0.0,1.9437,18.3786,0.1866,0.0639,0.7934,1.3959,0.0208,0.0,0.02,0.0126,0.0377,0.0814,0.0991,0.0,0.0,0.0,0.2152,0.013,0.0,0.0,Al,S,30.1144,0.0
5.899,0.0,0,25.6054,15.2331,0.0,2.5798,23.5129,0.2274,0.0928,0.9983,1.7195,0.0141,0.0,0.0291,0.0,0.073,0.0447,0.0,0.1309,0.0217,0.0,0.278,0.0115,0.0209,0.0017,Al,S,25.6054,0.0
5.999,0.0,0,0.0,0.0,0.0,2.3704,27.0473,0.4869,0.117,1.6921,2.8834,0.0,0.0,0.0346,0.0635,0.0,0.1944,0.2407,0.0,0.1326,0.1544,0.0,0.0027,0.0506,0.0127,Ca,Al,27.0473,0.0
6.099,0.0,0,41.2962,7.5788,0.0,2.3626,24.3937,0.1941,0.0786,0.9293,1.4829,0.0,0.0,0.0072,0.0445,0.044,0.0735,0.0952,0.0,0.0647,0.0,0.1072,0.0164,0.0,0.0076,Al,S,41.2962,0.0
6.199,0.0,0,0.0,9.0247,0.0,2.7008,26.6244,0.2983,0.1016,1.3883,2.3258,0.0,0.0,0.0301,0.0,0.1153,0.2128,0.0963,0.1427,0.0427,0.0735,0.1652,0.0171,0.0,0.0,Ca,Al,26.6244,0.0
6.299,0.0,0,0.0,2.8476,0.0,2.7887,27.9019,0.2743,0.1501,1.5744,2.7686,0.0439,0.0,0.0792,0.0169,0.0317,0.1166,0.0821,0.1405,0.0589,0.1401,1.2763,0.0345,0.0,0.0,Ca,Al,27.9019,0.0
6.399,0.0,0,15.4435,6.0234,0.0,2.5116,23.7778,0.1974,0.1195,1.0506,1.9655,0.0,0.0,0.0437,0.0225,0.0071,0.0681,0.0176,0.0354,0.0569,0.0,0.1835,0.0285,0.0,0.0,Ca,S,23.7778,0.0
6.499,0.0,0,30.4793,7.7764,0.0,2.1717,20.4544,0.2083,0.0677,0.7634,1.3554,0.0093,0.0129,0.0362,0.0367,0.048,0.0502,0.0325,0.0,0.0216,0.0,0.2416,0.0116,0.0,0.0042,Al,S,30.4793,0.0
6.599,0.0,0,11.1607,7.0963,0.037,1.9132,18.038,0.2176,0.105,0.7723,1.2374,0.0088,0.0,0.0303,0.0,0.0268,0.0864,0.0409,0.0094,0.0411,0.0723,0.1662,0.0092,0.0454,0.0,Ca,Cu,18.038,0.0
6.699,0.0,0,18.736,15.0374,0.0,2.5043,21.4168,0.2411,0.0605,0.9151,1.4328,0.0,0.0,0.0405,0.0028,0.0795,0.0348,0.0333,0.064,0.0457,0.0,0.1198,0.0,0.0,0.0201,Ca,S,21.4168,0.0
6.799,0.0,0,22.2658,8.3496,0.0,2.5281,23.2255,0.2472,0.1034,0.9447,1.7162,0.0087,0.0,0.0233,0.0152,0.1036,0.1054,0.0856,0.075,0.0334,0.0,0.4018,0.0191,0.0,0.0,Ca,S,23.2255,0.0
6.899,0.0,0,27.827,6.7741,0.0,2.6139,24.3842,0.2507,0.1141,0.9596,1.6299,0.0083,0.0,0.0135,0.0296,0.0671,0.0316,0.1116,0.0,0.0,0.0,0.1604,0.0222,0.0,0.0027,Al,S,27.827,0.0
6.999,0.0,0,13.6757,9.9899,0.0,2.6726,26.2091,0.286,0.0916,1.1508,2.116,0.005,0.0,0.0501,0.0103,0.0134,0.0322,0.064,0.0718,0.0397,0.0,0.201,0.0371,0.0,0.0,Ca,S,26.2091,0.0
7.099,0.0,0,18.5185,13.2993,0.0996,2.903,23.4893,0.2986,0.117,1.0111,1.9838,0.0124,0.0,0.022,0.0,0.0586,0.0117,0.1366,0.0515,0.0547,0.0,0.1806,0.0251,0.0,0.0,Ca,Cu,23.4893,0.0
7.199,0.0,0,25.0133,6.384,0.0,3.0329,22.8691,0.281,0.0995,1.0213,1.846,0.0253,0.0,0.0,0.0,0.0267,0.0798,0.0766,0.0972,0.0117,0.0972,0.0,0.0119,0.0,0.0121,Al,S,25.0133,0.0
7.299,0.0,0,3.9343,7.6544,0.0,3.056,25.112,0.3649,0.1395,1.3009,2.4396,0.0317,0.0,0.031,0.0211,0.0708,0.0999,0.1117,0.0,0.0885,0.0,0.2623,0.0277,0.0,0.0,Ca,S,25.112,0.0
7.399,0.0,0,28.1955,0.0,0.0004,2.5531,23.328,0.281,0.1115,1.0628,1.8621,0.0,0.0,0.0194,0.0244,0.0163,0.024,0.108,0.0744,0.0258,0.0351,0.0946,0.0154,0.0,0.0,Al,Si,28.1955,0.0
7.499,0.0,0,0.0,9.4481,0.0,2.3078,27.0155,0.4597,0.1508,1.3568,2.1448,0.0,0.0,0.0453,0.0,0.1018,0.1068,0.1,0.1599,0.0169,0.0,0.2654,0.0267,0.0,0.0236,Ca,Al,27.0155,0.0
7.599,0.0,0,47.6075,8.993,0.0,2.6401,24.0229,0.2289,0.1168,0.839,1.4325,0.0218,0.0,0.0165,0.0039,0.0388,0.015,0.0571,0.0499,0.0,0.0,0.181,0.0181,0.047,0.0077,Al,S,47.6075,0.0
7.699,0.0,0,16.8228,12.9636,0.2409,3.0487,24.0112,0.3239,0.1193,0.9787,1.9793,0.041,0.0,0.0629,0.0688,0.0,0.0608,0.133,0.0,0.0,0.0709,0.3086,0.0377,0.0,0.0,Ca,Cu,24.0112,0.0
7.799,0.0,0,58.8358,16.2064,0.0,2.511,24.0302,0.2363,0.0873,0.8369,1.3239,0.0225,0.0,0.0169,0.0,0.0695,0.0225,0.1104,0.0397,0.0246,0.0,0.1085,0.0189,0.0,0.0072,Al,S,58.8358,0.0
7.899,0.0,0,3.2218,8.7601,0.0,2.3857,27.2018,0.3756,0.1658,1.3597,2.2021,0.0507,0.0,0.0234,0.0394,0.0948,0.0294,0.1414,0.1738,0.0146,0.1385,0.6898,0.0363,0.0,0.0,Ca,S,27.2018,0.0
0.0,0.1,0,42.7699,0.0,0.0,2.1612,22.1866,0.2571,0.0529,0.9169,1.3496,0.0,0.0,0.0158,0.0,0.0848,0.0151,0.0417,0.0204,0.0,0.0,0.0795,0.0129,0.0501,0.0,Al,Si,42.7699,0.0
0.1,0.1,0,17.0214,5.9287,0.0,2.1594,22.9316,0.2535,0.0359,1.1133,1.6647,0.0272,0.0,0.0258,0.0,0.0297,0.0373,0.1059,0.0,0.0175,0.0,0.0709,0.0228,0.0,0.0,Ca,S,22.9316,0.0
0.2,0.1,0,30.8798,4.191,0.0,1.9471,22.6694,0.1925,0.0246,0.9744,1.4245,0.0,0.0,0.0253,0.0,0.036,0.0299,0.0914,0.0187,0.022,0.0633,0.0445,0.0239,0.0,0.0,Al,S,30.8798,0.0
0.3,0.1,0,25.063,5.2519,0.0,1.5539,24.1942,0.2022,0.0407,1.0232,1.7368,0.0051,0.0,0.0351,0.014,0.0647,0.11,0.0422,0.0369,0.0,0.0216,0.1787,0.0282,0.0,0.0,Al,S,25.063,0.0
0.4,0.1,0,17.4407,9.9485,0.0949,1.6543,25.7225,0.2196,0.0433,1.1032,1.7475,0.0356,0.0,0.0335,0.0,0.0837,0.0106,0.1013,0.0246,0.0512,0.0,0.1647,0.007,0.0361,0.0,Ca,Cu,25.7225,0.0
0.5,0.1,0,8.2811,6.26,0.0,1.4474,27.5669,0.2027,0.0529,1.2715,1.676,0.0291,0.0102,0.0,0.0,0.0106,0.074,0.1137,0.1294,0.06,0.0529,0.4584,0.0207,0.0068,0.0,Ca,S,27.5669,0.0
0.6,0.1,0,12.5604,8.1805,0.0,1.3005,28.5903,0.1692,0.038,1.2534,1.0608,0.0,0.0,0.0363,0.0,0.035,0.084,0.149,0.0,0.0341,0.1,0.2025,0.0029,0.0792,0.0,Ca,S,28.5903,0.0
0.7,0.1,0,13.879,0.0,0.0,1.3362,28.2164,0.2032,0.0065,1.3718,1.2209,0.0,0.0,0.0298,0.0219,0.0204,0.0525,0.052,0.0,0.0087,0.0,0.0,0.0061,0.0,0.0,Ca,Si,28.2164,0.0
0.8,0.1,0,16.6506,9.8441,0.0,1.4859,27.3458,0.2186,0.0262,1.0759,1.17,0.0,0.0,0.0524,0.0073,0.0073,0.034,0.0634,0.0571,0.049,0.0,0.482,0.026,0.0,0.0,Ca,S,27.3458,0.0
0.9,0.1,0,23.4507,9.0579,0.0,1.6001,25.5267,0.1958,0.0511,0.8945,1.1854,0.0,0.0,0.0176,0.0367,0.0548,0.0254,0.1535,0.022,0.0,0.1016,0.353,0.0049,0.0,0.0,Ca,S,25.5267,0.0
1.0,0.1,0,37.7044,7.5585,0.0,1.4817,23.6652,0.1622,0.0304,0.818,1.0697,0.0074,0.0078,0.0127,0.0078,0.0344,0.0,0.0752,0.0648,0.0098,0.0,0.0963,0.0199,0.0,0.0097,Al,S,37.7044,0.0
1.1,0.1,0,0.0,9.069,0.0269,1.7907,24.6359,0.3601,0.0328,1.3701,1.7657,0.0,0.0,0.0485,0.0385,0.0,0.05,0.0778,0.0,0.0212,0.0,0.1024,0.0364,0.0,0.0043,Ca,Al,24.6359,0.0
1.2,0.1,0,30.8353,7.2769,0.0,1.9051,20.9667,0.2018,0.0567,0.7927,1.146,0.0108,0.0,0.0119,0.0119,0.0091,0.017,0.071,0.027,0.0088,0.043,0.0451,0.0015,0.0007,0.0,Al,S,30.8353,0.0
1.3,0.1,0,0.0,3.9087,0.0,1.7376,24.4707,0.2814,0.0723,1.3069,1.7756,0.007,0.0,0.0194,0.034,0.0143,0.0,0.1207,0.0296,0.0281,0.2023,0.294,0.034,0.0,0.0,Ca,Al,24.4707,0.0
1.4,0.1,0,11.3491,10.7443,0.0,1.9111,23.7084,0.203,0.0452,0.9857,1.1084,0.0051,0.0,0.0,0.0624,0.0861,0.0293,0.0505,0.0348,0.0,0.0611,0.3423,0.0089,0.0106,0.0,Ca,S,23.7084,0.0
1.5,0.1,0,0.0,7.5385,0.0,1.7234,24.5232,0.2888,0.1005,1.362,1.6887,0.022,0.0,0.0608,0.0,0.0954,0.0904,0.1222,0.094,0.0,0.0604,0.2687,0.0114,0.0041,0.0166,Ca,Al,24.5232,0.0
1.6,0.1,0,2.0831,0.0,0.0,1.9022,24.0184,0.3857,0.0737,1.6653,2.0792,0.0118,0.0,0.0341,0.0,0.2137,0.1608,0.088,0.0751,0.012,0.0539,0.2239,0.0037,0.0068,0.0191,Ca,Si,24.0184,0.0
1.7,0.1,0,36.2033,10.0273,0.1933,2.2357,20.9324,0.1541,0.051,0.9048,1.0975,0.0,0.0,0.0211,0.0086,0.0381,0.0584,0.0535,0.02,0.011,0.0741,0.1251,0.0036,0.0687,0.0,Al,Ni,36.2033,0.0
1.8,0.1,0,15.506,10.0128,0.0,1.8678,21.9982,0.2068,0.0572,1.0366,1.3168,0.0061,0.0,0.0189,0.0297,0.0146,0.0488,0.1151,0.0236,0.0,0.0564,0.3113,0.0251,0.0,0.0,Ca,S,21.9982,0.0
1.9,0.1,0,4.2476,0.0,0.0,1.7063,24.2261,0.3548,0.0637,1.4942,1.8931,0.0,0.0,0.0798,0.0476,0.1058,0.0233,0.2465,0.0302,0.0326,0.0731,0.2308,0.0182,0.0981,0.02,Ca,Si,24.2261,0.0
2.0,0.1,0,29.8979,5.037,0.0,1.6814,23.5471,0.2267,0.0198,0.9274,1.303,0.0099,0.0,0.0157,0.0048,0.0,0.0861,0.0274,0.0269,0.0352,0.0,0.3688,0.0037,0.0244,0.0,Al,S,29.8979,0.0
2.1,0.1,0,0.0,5.8813,0.0,2.114,24.4788,0.2732,0.0886,1.3967,2.1159,0.0195,0.0,0.0528,0.1045,0.0773,0.0237,0.2139,0.0,0.0,0.0,0.1498,0.0078,0.0,0.0,Ca,Al,24.4788,0.0
2.2,0.1,0,23.3182,0.0,0.0,2.1838,22.444,0.29,0.0876,1.0115,1.7446,0.0098,0.0,0.0264,0.0047,0.0866,0.1167,0.0456,0.0513,0.0,0.0205,0.3455,0.0,0.0129,0.0002,Al,Si,23.3182,0.0
2.3,0.1,0,1.1966,10.1355,0.1311,2.1792,23.4194,0.4171,0.1177,1.3853,2.2901,0.0081,0.0,0.0,0.0161,0.0691,0.0,0.073,0.0,0.0,0.0594,0.4673,0.0164,0.0,0.0158,Ca,Cu,23.4194,0.0
